Date,label
21 Nov 2000,-1
20 Feb 2001,1
11 Jan 2001,-1
17 Jul 2000,-1
6 Feb 2001,-1
17 Aug 2000,0
26 Mar 2001,0
13 May 2001,0
18 Oct 2000,0
2 Oct 2000,0
12 Apr 2001,0
17 Oct 2000,1
25 Apr 2001,0
1 Dec 2000,-1
5 Nov 2000,0
14 Mar 2001,0
13 Dec 2000,0
29 Mar 2000,0
2 Jan 2001,0
26 Feb 2001,0
14 Sep 2000,0
7 Sep 2000,0
27 Feb 2001,-1
24 Jan 2001,0
25 Aug 2000,0
11 Dec 2000,-1
19 Sep 2000,0
19 Mar 2001,0
4 Apr 2001,-1
11 Apr 2001,0
4 Oct 2000,1
8 May 2001,1
12 Feb 2001,0
11 May 2001,0
5 Apr 2001,1
11 Oct 2000,0
26 Dec 2000,0
13 May 2001,0
5 Mar 2001,1
31 May 2000,0
11 Jul 2000,0
30 Aug 2000,-1
15 Apr 2001,0
24 Oct 2000,0
25 Mar 2001,-1
27 Sep 2000,1
13 May 2001,0
21 Nov 2000,0
21 Feb 2001,-1
17 Jul 2000,1
16 Apr 2000,0
6 Feb 2001,0
4 Oct 2000,-1
12 Aug 2000,1
2 Nov 2000,1
22 Aug 2000,0
13 Mar 2001,1
29 Mar 2000,0
2 Jan 2001,0
14 Sep 2000,0
19 Oct 2000,0
15 Apr 2001,1
2 Apr 2001,1
17 Oct 2000,0
25 Apr 2001,1
14 Oct 2000,0
4 Oct 2000,0
8 May 2001,0
3 Aug 2000,0
11 Feb 2001,1
27 Feb 2001,0
28 Jun 2000,1
24 Jan 2001,0
25 Aug 2000,0
1 Nov 2000,0
19 Sep 2000,0
11 Dec 2000,1
5 Mar 2001,0
22 May 2000,0
17 Jan 2001,0
31 Aug 2000,1
16 Apr 2001,-1
24 Oct 2000,0
5 Apr 2001,1
10 Oct 2000,0
4 May 2001,0
26 Dec 2000,-1
13 May 2001,0
29 Apr 2001,0
29 Mar 2001,0
13 Oct 2000,-1
11 Apr 2001,0
10 Jan 2001,1
6 Apr 2000,0
20 Aug 2000,0
7 Mar 2001,0
29 Nov 2000,1
7 Aug 2000,0
31 May 2000,0
7 Feb 2001,-1
