Text,Sentiment
eddie gaetchens marty kevin man coming anybody dinner drink,Neutral
forwarded dan j hyvlhouect dan j hyvl,Neutral
forwarded dan j hyvlhouect see attached file environmental service agreement formdocsee attached file general service maintenance agreement formdocsee attached file master service agreement formdocsee attached file project service agreement formdocsee attached file service agreement formdoc stephen schneider william nicolas ronald new contract form utilize stepheny augustus responsible create necessary contract approve contractual rate invoice received please coordinate stepheny contract created,Neutral
forwarded gerald nemechouect russell badders review intend file document please provide comment prior noon russell answerwfecdoc,Neutral
forwarded jeff dasovichnaenron scott govenar hansen jeff dasovich susan j mara joseph alamo paul kaufman david parquet rick johnson marcie milner sandra mccubbin tim belden rick shapiro jim steffes alan comnes chris calger mary hain joe hartsoe donna fulton steven kean karen denne assemblyman rod wright held another one informal discussion generator iou marketer said assembly speaker robert hertzberg going introduce bill tomorrow contain many element abx minus comprehensive bill address arrearage securitization include type stop loss mechanism among thing unclear whether bill voted tomorrow held hearing sbx probably heard tomorrow well although clear action senate energy committee take ongoing discussion state creating transmission corporation operate transmission system ongoing discussion allowing dwr buy existing block forward contract however court today issued stay prevent sce px taking action contract least ongoing discussion issuing ratepayer bond place full faith credit state absent dwr rfb sempra requested legislature repeal utility code section prevents iou buying outside px item arose today spent day meeting legislator regarding expedited siting response positive including senator byron sher key environmentalist legislature initial focus trouble getting air credit governor davis held press conference moment ago indicated average bid price dwr rfb forward press release attached press release governor davis regarding new iso board includes information new member vsitefpressreleaseffahtmlstitlegovernordavis announcesfirstmeetingofnewisoboardscattitlepressreleaseioid,Neutral
forwarded jeff dasovichnaenron julee malinowskiball please respond julee malinowskiball jan smutny jones steven kelley pacom katie kaplan william hall tony wetzel tandy mcmannes sue mara steve ponder steve iliff stephanie newell scott sadler roger pelote richard hyde randy hickok rachel king paula soos nam nguyen marty mcfadden lynn lednicky larrea john kent palmerton ken hoffman kate castillo kassandra gough jonathan weisgall john stout joe ronan joe greco jim willey jeff dasovich jack pigott jack hawk hap boyd greg blue frazier blaylock frank derosa eric eisenman eileen koch ed tomeo duane nelson doug fernley dean gosselin davi parquet curtis kebler curt hatton craig chancellor cody carter carolyn baker bob gate bob escalante bob ellery bill wood bill carlson alex sugaoka bob szymanski chris ellison andy brown dou g kerner jean munoz subject legislative status report week ending legislative status report week ending recent event iep help chris ellison negotiating table mo week dealing recent amendment sb x sb x sherbattin make various change siting process including many iepsponsored proposal recall two new provision added bill last minute going assembly floor dealing retrofit schedule environmental dispatch generating facility per direction iep member company iep decided negotiate environmental dispatch issue provision remained bill iep would continue push republican hold opposed position however given authority negotiate retrofit issue long talking facility already retrofit requirement faxing agreed upon language essence say arb shall set schedule completion mandated retrofit expand authority air district arb mandate retrofit existing law schedule would require completion retrofit later date iso determines necessary maintain reliability amendment including cleanup language sb x votedon assembly floor go senate concurrence final version include following iepsponsored proposal conforming timing offset power plant clean air act requirement substituting ceqastyle hearing triallike proceeding ce c streamlining permit process modernization existing power plant site giving consideration positive environmental impact proposed project improving timeliness coordination state local agency review extending current deadline expedited review process established ab since sb x first step making change siting process iep member thinking next iep proposal still table include permitting local agency make zoning change decision power plant contingent upon cec ceqa compliance giving deference state regional agency easing threshold override local land use requirement making iso responsible determining interconnection requirement bad news california first issue quickly followed good news cec staff analysis said state require builder new power plant sell electricity even tradeoff expedited permitting countered another staff analysis say state document obtained due attorneyclient privilege issue coming head next week decision pending cec include california first clause approval expedited aes power plant project ab x hertzberg tie siting process requirement developer enter contract sell power specified california entity still poised heard senate energy committee iep member company lobbyist continue lobby measure regardless cecs decision aes although argument definitely strengthened addition clause cec denied iep finalized negotiation senator burton office amendm ents attempting solve problem eminent domain provision sb x burton state power authority measure attached copy f bill pdf form agreed upon language clarifies authority purpose supplement existing generation activity found page section section section considering inflammatory remark made senator burton press lately regarding seizing generation asset likely best could get first senator dunns hearing senate select committee investigate price manipulation wholesale market occurred week week next week topic go previous investigati ons market power committee heard hearing testimony frank wolak chairman market surveillance committee caiso eric hildebrandt manager market monitoring caiso elaine howle state auditor assembly electricity oversight subcommittee met week focused issue natural gas collusion testifying committee representative dynegy el paso commenting rise natural gas price whether illegal market manipulation collusion occurred subcommittee plan putting together package f bill related natural gas issue would culmination committee hearing last two month package consideration first whole special assembly energy committee governor davis came week supporting construction calpine metcalf energy center megawatt power plant proposed th e san jose region governor urged cec approve plant siting construction begin two longterm contracting bill scheduled hearing next week iep counsel currently reviewing ab wright sb morrow comment provision soon possible attached recent legislative tracking report special session regular session please let need copy bill upcoming event rd assembly utility commerce committee ab wright longterm contracting reasonableness review th senate energy committee sb morrow longterm contracting reasonableness review th assembly appropriation committee ab x cohn california first ab x florez sale kern power plant th select committee investigate price manipulation wholesale market informational hearing overview investigation study report regarding energy crisis th senate appropriation committee sb x soto excess profit tax assembly revenue taxation committee ab x corbett excess profit tax assembly floor sb x burton state power authority sb x sherbattin siting end julee malinowskiball senior associate edson modisette fax tracking reportdoc tracking reportspecial sessiondoc sbxbillamendedasmpdf,Neutral
forwarded jeff dasovichnaenron bruce andrew suspect everyone seen today front page wsj case hurt deregulation utility california give lead role rebecca smith john r emshwiller staff reporter wall street journal sacramento calif video made political roast gov gray davis mimicking mafia bos soprano complains therapist texas bad guy pushing electricity price sky high vow get tough soon davis confederate usher four men gallon hat office shot ring aide emerging bloodspattered delivers punchline tell governor reliant problem solved gov davis gone far fight supplier houstonbased reliant energy inc way trying blast way crisis move coming rapid succession month criticism governor inaction fast reshaping state electricity system acquiescence state leader gov davis put california road creating amount mammoth stateowned electric utility answerable largely governor moreover though designed solve shortterm emergency governor policy loading consumer obligation could affect economy mostpopulous state year action way hark back system central control preceded disastrous foray utility deregulation simply return day monopoly utility strictly regulated state public utility commission emerging california power colossus operates important way beyond reach regulator public mr davis say action ensure californian secure supply reasonably priced electricity power grab democratic governor say interview desire intervene would get tomorrow would let leastfavorite thing colossal failure yet past six month pushed call colossal failure deregulation plan hatched republican predecessor governor put state deep power business mr davis ordered state department water resource begin buying power place california cashstrapped utility since state purchased committed purchase billion billion electricity contract long year governor effect seized control state electricitygrid operator california independent system operator installing handpicked team board member name implies iso supposed manage grid without favoring one participant mr davis also pushing state buy huge chunk transmission system owned financially beleaguered utility recently signed law bill creates state power authority whose director appointed governor agency far exists paper could used build power plant help run stateowned transmission system mr davis say authority part see hybrid system public power play important role augmenting private enterprise electricity business reviving utility healthy utility extremely important say governor add working hard revive state two biggest utility pacific gas electric co unit pge corp southern california edison co subsidiary edison international state role electricity business grown utility seem essential one reason governor difficulty getting rescue package edison state legislature plan among thing call state buy edison transmission system billion envisions utility eventually resuming powerbuying chore talk similar rescue package pacific gas failed utility filed bankruptcylaw protection state locking much california future power need legislator openly wonder whether utilityrescue effort worth billion dollar would require instance longterm contract cover state projected buying need mean edison take role buying power state already signed contract asks state sen debra bowen democrat head senate energy committee nonetheless governor say cautiously optimistic legislature soon approve edison rescue package mr davis deeply enmeshed almost every aspect electricity mess relatively aloof burgeoning crisis state utilityderegulation law enacted worked fairly well last deregulation plan state investorowned utility sold many power plant company repurchased electricity statesponsored auction consumer rate frozen customer given option buy electricity nonutility retail supplier tight electricity supply flawed auction system led sharp rise wholesale power cost retail rate frozen pacific gas edison racked multibilliondollar deficit mr davis declared emergency put state powerbuying business since bashful exercising emergency power mr davis could get legislative permission borrow money shortterm power purchase signed executive order authorizing state borrow billion commercial lender borrowing supposed repaid roughly billion municipalbond issue biggest u history scheduled later another executive order governor suspended emission standard power plant let run hour peakdemand period state hired small army energy consultant trader despite action think mr davis forceful enough example state senate last week passed resolution supporting governor power commandeer power plant deems step necessary mr davis said plan currently take action crisis governance electricity mess produced extraordinary crisis governance california postwar period say bruce cain director institute governmental study university california berkeley mr cain say power placed governor hand result state gotten away separation power check balance expect american government mr davis say action essential working credit longterm power contract helping cool spot market electricity price recent week dropped sharply state paid average price megawatt hour electricity though still far range two year ago worry rush address shortterm problem affect longerterm future economic forecast issued late last month warned continued heavy state involvement spending electricity business could produce enough drag california economy reduce state output total billion lead higher unemployment california crossroad amount state takeover electricity industry marketorient,Negative
forwarded jeff dasovichnaenron delaney hunter please respond dhunter ann cohn ann watson anna ferrera art carter assistant john fielder audra hartmann barbara barkovich becky kilbourne bill booth bill dombrowski bill keese bill zobel bob foster bob houston carolyn mcintyre catherine hackney charles bacchi craig brown dan carroll wouldenice cazalet dennis price wouldenny samuel wouldominic dimare dorothy rothrock doug fernley ed yates edson karen eloy garcia evelyn elsesser gary heath gordon mcdonald jack flanigan jack gualco jack stewart james boyd jan smutnyjones jeanne cain jeff dasovich jerry jordan jim groniger joe lyon joe ronan john bridge john fielder john fistolera john larrea john rozsa john white joseph alamo julee malinowskiball julia wright karen jarrell karen koyano karen lindh karen mill kari harteloo kassandra gough kathy brandenburg kay grosulak keith mccrea kevin lynch kevin smith kip lipper lawrence lingbloom lenny goldberg louis szablya marc joseph marwan masri mary mcdonald michael alcantar mike florio mike kahl mona petrochko pete conaty phil nail phil stohr ralph cavanagh randy chinn ray thompson rick counihan robert berry robin larson roderick campbell sheryl carter steve pike steve ponder stu wilson isue mara susan reeder terry winter thomas dinkel tim schmelzer tommy ross tony braun victoria schaefer folk hot net info becomes available thanks delaney p happy holiday,Neutral
forwarded richard b sandershouect james christopher f wanted aware start see negative press sen peace working potential response although end simply responding publicly jim forwarded james steffesnaenron jeff dasovich jeff dasovich karen mona l susan j paul sandi mccubbin joe sarah mary fyi got call jan smutneyjones apparently word street peace intends begin targeting example misconduct peace alleges occured california market smutney think peace keying comment unnamed trader dow article claiming buying power holding apparently peace angle iswill people colluded design market colluding profit unfairly idea peace might launch attack two immediate thought apart bad reporting dow article article show got beat among others two federal canada u one state srp one municipal ladwp government david freeman head ladwp appointed czar state california charged task implementing steve peace brain child ab freeman set iso px market structure also set governing board,Negative
forwarded richard b sandershouect dan lyon comment question forwarded dan lyonshouect sdtick original message attached aproposed agreement reflecting brazos limited waiver right object participating facilitation please review respective group get back comment shortly sending first draft hope agreedupon list issue need resolved order effectively address damage question tom carl chance let brazos would like change date meeting counsel eithernovember could please find one date meet group approval meeting houston pat already done need send copy memo damage tom limited waiver agreementdoc,Neutral
